"id","baseMean","baseMeanHealthy","baseMeanTumor","foldChange","log2FoldChange","pval","padj","medianHealthy","medianTumor","IQRhealthy","IQRtumor","SEhealthy","SEtumor"
"ZNF570",154.099786838915,216.248041328073,130.558781350597,0.603745497757016,-0.727987569345318,0.000197740357517274,0.000798023585694714,253,123,59,119.5,10.3725599540326,10.4702090355448
"ZNF57",380.800230577661,317.501467194589,404.777034889431,1.27488240752397,0.350364182059934,0.253579424874325,0.362763042155316,361,327,144,255.25,20.7216376444205,29.8945724085494
"ZNF556",46.4817000174383,22.3138969612285,55.6361708720632,2.49334174880944,1.31808063875479,0.0063052141928263,0.0160711850478806,15,24,27,60.5,4.84836742282046,10.8379767380898
"ZNF554",478.205338090585,336.679104582208,531.813759874062,1.57958647458683,0.6595469197012,0.00126354378943288,0.00400319013661446,390,510,106,238.75,17.0267710777274,27.5728026798707
"ZNF738",409.321533993029,406.958480010824,410.21663019841,1.00800609975617,0.011504369057423,0.861853846205145,0.915888570105155,411,397.5,239,309.5,37.9984087386126,25.9104377435894
"ZNF596",212.451207586322,247.552512768289,199.155258653759,0.804497019346234,-0.313841019100073,0.0296996315671653,0.0602884736602936,264,187.5,73,108.25,15.988775229308,9.2797747340234
"ZNF621",1725.00673696823,1491.82646102913,1813.33259906637,1.21551175450759,0.281563844899192,0.0175553780786005,0.0382796964106916,1636,1758.5,568,1210.75,97.3256882842346,113.364328636814
"ZNF680",868.301609394746,694.18258059782,934.255786969339,1.34583582631067,0.428502431483703,0.00946194013047596,0.022430753176443,769,853.5,199,682,55.6160804084574,77.0900198413769
"ZNF483",102.779880023561,105.337012292449,101.811269315649,0.966528925587791,-0.0491151858573591,0.912242113643553,0.951538697000506,108,94,65,127,11.5144836329439,10.3629222139744
"ZNF417",428.875795705287,367.6365290371,452.072487625056,1.22967238541041,0.298273997759171,0.0176154355164245,0.0382796964106916,392,482.5,215,333.25,25.9373167463406,28.0394310721634
"ZNF791",698.565724248793,689.970643339217,701.821436714542,1.01717579362213,0.0245690348197383,0.513413521104271,0.619384995211202,715,686.5,296,659.5,50.934864287637,47.9608359864016
"ZNF519",35.6287070753318,59.9408961802742,26.4195445355809,0.440759918839439,-1.18193505863866,1.9036193261193e-05,9.77768108415824e-05,60,21,45,15.75,7.7087136843099,2.70498076847693
"ZNF25",559.098143788549,972.088018535711,402.662585172199,0.414224409203956,-1.2715155244291,6.41021228290566e-09,6.79081863720318e-08,1101,302,382,155.5,48.0154447374314,45.1388779815354
"ZNF77",218.984176180101,230.239108785193,214.720944132717,0.932599788392363,-0.100669992558175,0.389922286150193,0.504517767194334,216,193,134,88.75,25.2700138504117,10.2184648250439
"ZNF169",111.462631846861,151.850075481803,96.164357742716,0.633284886014034,-0.659073446450341,0.000167407886137389,0.000692088700007013,154,96.5,59,57,14.5898457839691,5.21318631714919
"ZNF613",317.264716945966,361.442160785231,300.53083670382,0.831476981132801,-0.266251770839926,0.0706781321663952,0.129512901645449,408,282,106,149.75,18.3054381719386,18.8681183767385
"ZNF404",168.800158697872,102.651995008601,193.856281307445,1.8884804069439,0.917225815839768,0.00168103638915589,0.00504310916746768,120,176,34,143.75,9.74738939408907,13.990864359019
"ZNF135",370.226619934576,388.886627428204,363.158435277899,0.933841406889068,-0.0987505352330412,0.613468898605949,0.713260007204581,444,345.5,126,326.25,23.2919385195823,28.6037513019319
