"gene","p-adj-Low Grade-High Grade","mean-High Grade","mean-Low Grade","SEM-High Grade","SEM-Low Grade","Q1-High Grade","Q1-Low Grade","Q3-High Grade","Q3-Low Grade","count-High Grade","count-Low Grade"
"ZNF721",0.538117701784713,408.271684036145,436.58938,11.0830896830524,34.0906533354399,266.890875,326.531875,510.490125,560.6571,332,20
"ZNF662",1.89613125867183e-07,217.203128313253,689.09161,17.7695059967857,213.548554164558,16.542175,211.487325,250.457625,824.5569,332,20
"ZNF320",5.9808741292855e-09,764.586665662651,1592.294485,30.2701853253643,263.702690217846,353.36885,1000.3903,1075.92095,1753.465875,332,20
"ZNF530",0.855183713199341,96.3654792168675,94.164625,2.78631229495898,16.6637744678719,62.68645,66.93215,119.78435,87.74755,332,20
"ZFP1",0.441933767302215,209.883563554217,191.85767,5.72036598444524,7.97610945495524,150.38225,167.687225,239.6438,202.474775,332,20
"KRBA2",0.557789211972537,43.0075912650602,47.2761,1.73444750521811,7.05136751078526,22.3362,25.33775,54.502275,63.017525,332,20
"ZNF93",0.714945393932085,131.277259638554,142.260115,7.22790410783082,24.0490040969413,57.568675,69.979625,161.901575,188.085625,332,20
"ZFP90",0.665177482832007,560.219799096386,585.64524,14.2221185272544,37.0473569002194,392.006975,469.92265,678.87775,605.703975,332,20
"ZNF479",0.443492286220749,0.754625903614458,0.041945,0.227692100530575,0.0312421859493656,0,0,0,0,332,20
"ZNF445",0.359015010964789,463.291066566265,502.1175,10.0857385640881,40.4026273106739,333.477575,352.65695,558.923375,614.394075,332,20
"ZNF74",0.696346516140819,424.041448795181,452.172305,17.3724280092333,53.3869936315463,246.18075,334.153725,487.3578,469.87855,332,20
"ZNF829",0.181767564368796,13.8119469879518,9.88294,0.712008351077196,1.79252190503242,5.20705,4.08795,18.276075,13.278475,332,20
"ZNF267",0.0305316461506081,367.933945481928,286.05239,9.15303718132838,21.5899092873913,266.295575,213.59835,431.4229,331.708825,332,20
"ZNF566",0.290512196100572,153.017938855422,173.044275,4.55097917487099,15.114856711722,96.386175,132.897025,185.847875,195.8118,332,20
"ZNF224",0.00013263807707653,225.937902409639,375.27856,8.07250431495642,84.2676300231575,134.251875,168.7083,267.1659,392.302275,332,20
"ZNF529",0.272939676172221,278.437227409639,322.166505,9.58267834555853,31.626982202315,170.8882,227.49515,338.75465,399.522975,332,20
"ZNF284",0.605632583455954,40.9349743975904,44.693945,1.69706489350845,9.29319498488707,19.84565,20.3295,52.4632,51.699475,332,20
"ZNF749",0.326504325585367,75.624656626506,66.34495,2.29189760922592,5.54094322919701,48.672725,51.97575,92.09815,73.712125,332,20
"ZNF17",0.364398687920479,119.512990060241,130.35385,2.8395879266379,11.9903195870877,85.405875,88.70685,141.130425,178.3497,332,20
"ZNF555",0.659572234564146,60.2871379518072,57.66732,1.41778241809919,5.67399605292982,44.446125,44.68455,71.98655,72.6028,332,20
"ZNF75D",0.000249692555836623,266.330718373494,376.06981,6.90263749175893,38.7251187574013,191.1219,266.548575,314.352825,473.0024,332,20
"ZNF197",0.0184351058900742,352.746155421687,417.361565,6.55715436033001,22.4541773429699,273.12345,359.0934,424.178,456.729175,332,20
"ZNF732",0.778469330563422,9.63026265060241,8.73331,0.77473238376695,1.66844436260248,1.3717,4.151625,12.838025,11.22675,332,20
"ZNF546",0.010229976929066,40.9261786144578,60.662435,1.78517232291968,9.67337106406382,20.764925,31.55215,51.556525,63.49095,332,20
"ZNF286A",0.188898340708702,279.500175301205,228.67623,9.37662156236311,21.7278912168391,173.213625,172.667625,311.745775,270.180875,332,20
