"gene","Stage II-Stage I","Stage III-Stage I","Stage III-Stage II","Stage IV-Stage I","Stage IV-Stage II","Stage IV-Stage III"
"ZNF605",0.64434827840978,0.695102779386382,0.983112544843787,0.668686590036119,0.998166856082241,0.997428142405078
"ZNF799",0.65177399751032,0.25204227146577,0.0126813583399813,0.409074873252919,0.317948118168368,0.539222038580203
"ZNF782",0.759403619035614,0.930377596712899,0.334263199662426,0.824138244144098,0.951346151751841,0.657517863514479
"ZNF846",0.999648312198344,0.925493292351461,0.0956896718239973,0.970339430830063,0.420071364809801,0.864123865207832
"ZNF136",0.708398749161937,0.323440900641481,0.0261365254098422,0.427576207406717,0.197140548489196,0.842917988952324
"ZKSCAN5",0.998443298993982,0.983394897697637,0.807461602325909,0.979037983526155,0.735923416194873,0.999070248654053
"ZNF33B",0.473224010250955,0.223786439469107,0.157354069400855,0.188417499781969,0.0657028347448206,0.977633702481106
"ZNF431",0.161039187544008,0.158275053997213,0.999989032467867,0.118947328237056,0.924873741445299,0.932300033145848
"ZNF418",0.0405869558773178,0.0255092591995354,0.883152140355417,0.0749250163324671,0.716597074001178,0.271596809531656
"ZNF700",0.455469450649507,0.236638342588827,0.260898414951238,0.235880011090665,0.262761840997933,0.999999462790037
"ZFP28",0.214823999132583,0.278927937145342,0.916229594215738,0.304314580753707,0.822305041272404,0.995894777929996
"ZNF585A",0.81593400072912,0.893283151790763,0.87441319309393,0.758979531338949,0.967260256934325,0.610465105381097
"ZNF138",0.553183282698479,0.626203085298201,0.955765699460485,0.711996362039582,0.679074408168303,0.92703337548127
"ZNF429",0.991202518412765,0.857467185206252,0.118727408702859,0.955797974269073,0.765235274874672,0.595986144124743
"ZNF470",0.0228124727782533,0.0145503016082708,0.91140045990761,0.02163970278108,0.999836347749806,0.936087074592133
"ZNF100",0.281605746216046,0.143122196315193,0.402473650384085,0.1262626762902,0.271184797850953,0.993567578777284
"ZNF398",0.99976503852466,0.966671738112809,0.334844797659249,0.999440897837408,0.807113229468986,0.0480614341545541
"ZNF498",0.957665817513557,0.982249148970703,0.934490924861082,0.973667781317222,0.985925035523832,0.994787988227563
"ZNF441",0.969809719209942,0.867926784817294,0.482691862888074,0.84014529091161,0.334371306361243,0.993099762707774
"ZNF420",0.99535828006507,0.99848113819878,0.987570219467333,0.968637615272315,0.768995794731871,0.557223938504338
